antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'36f60d45225e60c7da4558b070ce4b60'}),frozenset({'e53e557d5a159f5aa2c5e995dfdf244b'}),0.0041527928467207905,0.0058363575143102996,0.001272026637734296,0.3063063063063063,52.48244398244398,0.0012477894539979632,1.4331449911157343,0.9850366624972929
frozenset({'e53e557d5a159f5aa2c5e995dfdf244b'}),frozenset({'36f60d45225e60c7da4558b070ce4b60'}),0.0058363575143102996,0.0041527928467207905,0.001272026637734296,0.21794871794871795,52.48244398244398,0.0012477894539979632,1.273378396032062,0.9867047710967126
frozenset({'35afc973633aaeb6b877ff57b2793310'}),frozenset({'99a4788cb24856965c36a24e339b6058'}),0.0058363575143102996,0.017471659994762242,0.0010849638968910172,0.18589743589743588,10.639941250754955,0.0009829930427931119,1.2068852050458039,0.9113333861049003
frozenset({'99a4788cb24856965c36a24e339b6058'}),frozenset({'35afc973633aaeb6b877ff57b2793310'}),0.017471659994762242,0.0058363575143102996,0.0010849638968910172,0.062098501070663815,10.639941250754957,0.0009829930427931119,1.0599872626502673,0.9221255833129813
frozenset({'f4f67ccaece962d013a4e1d7dc3a61f7'}),frozenset({'4fcb3d9a5f4871e8362dfedbdb02b064'}),0.002095102697444723,0.0033297167870103635,0.000636013318867148,0.3035714285714286,91.17034510433388,0.0006290372202449557,1.4311163041007031,0.9911079942043176
frozenset({'4fcb3d9a5f4871e8362dfedbdb02b064'}),frozenset({'f4f67ccaece962d013a4e1d7dc3a61f7'}),0.0033297167870103635,0.002095102697444723,0.000636013318867148,0.19101123595505615,91.17034510433386,0.0006290372202449557,1.2335213313878808,0.9923357180710123
frozenset({'3f14d740544f37ece8a9e7bc8349797e'}),frozenset({'36f60d45225e60c7da4558b070ce4b60'}),0.0030304164016611173,0.0041527928467207905,0.0004489505780238692,0.14814814814814814,35.674341007674336,0.00043636588646846556,1.1690380257886321,0.9749230711498048
frozenset({'36f60d45225e60c7da4558b070ce4b60'}),frozenset({'3f14d740544f37ece8a9e7bc8349797e'}),0.0041527928467207905,0.0030304164016611173,0.0004489505780238692,0.1081081081081081,35.674341007674336,0.00043636588646846556,1.1178143816102588,0.9760218649034488
frozenset({'389d119b48cf3043d311335e499d9c6b'}),frozenset({'422879e10f46682990de24d770e7f83d'}),0.011635302480451944,0.01316921695536683,0.00041153802985521344,0.03536977491961415,2.685791800643087,0.00025831020714882396,1.0230145784229363,0.6350594291770763
frozenset({'422879e10f46682990de24d770e7f83d'}),frozenset({'389d119b48cf3043d311335e499d9c6b'}),0.01316921695536683,0.011635302480451944,0.00041153802985521344,0.03125,2.6857918006430865,0.00025831020714882396,1.020247429697598,0.6360465557114152
